Value,Category
54.96714153011233,Surfae
48.61735698828815,Surfae
56.47688538100692,Blackwhole
65.23029856408026,Blackwhole
47.658466252766644,Sky
47.6586304305082,Surfae
65.79212815507391,Sky
57.67434729152909,Sky
45.30525614065048,Sky
55.42560043585965,Sky
45.365823071875376,Surfae
45.34270246429743,Sky
52.41962271566034,Surfae
30.86719755342202,Surfae
32.75082167486967,Blackwhole
44.377124707590276,Surfae
39.87168879665576,Blackwhole
53.142473325952736,Surfae
40.91975924478789,Surfae
35.87696298664709,Surfae
64.65648768921554,Blackwhole
47.74223699513465,Blackwhole
50.67528204687924,Sky
35.75251813786543,Blackwhole
44.556172754748175,Blackwhole
51.10922589709866,Blackwhole
38.49006422577697,Blackwhole
53.75698018345672,Sky
43.99361310081195,Blackwhole
47.083062502067236,Surfae
43.98293387770603,Surfae
68.52278184508938,Blackwhole
49.86502775262066,Blackwhole
39.422890710441,Surfae
58.22544912103189,Surfae
37.791563500289776,Sky
52.08863595004755,Surfae
30.403298761202244,Surfae
36.71813951101569,Blackwhole
51.96861235869123,Surfae
57.38466579995411,Sky
51.7136828118997,Surfae
48.843517176117594,Blackwhole
46.98896304410711,Blackwhole
35.214780096325725,Surfae
42.801557916052914,Blackwhole
45.393612290402125,Sky
60.57122226218916,Sky
53.43618289568462,Surfae
32.36959844637266,Surfae
53.24083969394795,Surfae
46.149177195836835,Blackwhole
43.23077999694041,Sky
56.11676288840868,Sky
60.30999522495951,Blackwhole
59.31280119116199,Sky
41.607824767773614,Surfae
46.907876241487855,Surfae
53.31263431403564,Surfae
59.75545127122359,Sky
45.2082576215471,Surfae
48.14341023336183,Blackwhole
38.93665025993972,Blackwhole
38.037933759193294,Sky
58.125258223941984,Blackwhole
63.56240028570823,Blackwhole
49.27989878419666,Sky
60.03532897892024,Surfae
53.61636025047634,Surfae
43.54880245394876,Surfae
53.61395605508414,Sky
65.38036566465969,Blackwhole
49.64173960890049,Surfae
65.64643655814007,Surfae
23.802548959102555,Sky
58.21902504375224,Surfae
50.870470682381715,Sky
47.00992649534132,Blackwhole
50.91760776535502,Sky
