,Date,Metric_A,Metric_B
0,2026-01-01,53.16317300825904,29.951726616083864
1,2026-01-02,55.09373095705585,29.49913326669156
2,2026-01-03,52.50293037283331,31.49231099635638
3,2026-01-04,52.98616267297626,30.745595950648806
4,2026-01-05,54.728834620757226,30.923912674923386
5,2026-01-06,53.78866349931943,30.429968553424157
6,2026-01-07,54.819686670703675,32.29924283863655
7,2026-01-08,55.53678372213361,30.47140879480146
8,2026-01-09,56.04536658400168,30.227660020067997
9,2026-01-10,56.19616616281579,30.344801483325167
10,2026-01-11,57.56221854272299,31.123836114962003
11,2026-01-12,60.46829329034742,32.11519046746958
12,2026-01-13,59.03816194931389,32.0915056289738
13,2026-01-14,61.5947101052793,33.87511431522295
14,2026-01-15,62.55197036552862,34.64724498344056
15,2026-01-16,63.94224559118931,38.648721568092455
16,2026-01-17,62.169041167527226,36.68623933734764
17,2026-01-18,62.939314924424494,37.91714033186055
18,2026-01-19,66.40838892809766,36.6494415255889
19,2026-01-20,64.7487791565271,35.752428299080535
20,2026-01-21,61.29332259521129,39.03005518621913
21,2026-01-22,58.30657800341348,41.94727640872808
22,2026-01-23,59.33871833141458,39.46299818781136
23,2026-01-24,64.60865299283677,39.42883763915686
24,2026-01-25,67.35603549965562,39.630065867590055
25,2026-01-26,71.20127992627127,36.73249770486765
26,2026-01-27,71.89957835794176,36.95925193785952
27,2026-01-28,75.19557111212892,37.84926376348213
28,2026-01-29,75.15307513619734,38.47516148115919
29,2026-01-30,76.87948350591662,35.7835708265476
30,2026-01-31,76.84484912856949,37.74513317872158
31,2026-02-01,76.24623110035853,38.41194914369356
32,2026-02-02,77.01164769187844,38.61908109945496
33,2026-02-03,76.55936366202377,37.788241658333405
34,2026-02-04,79.67630982375071,39.156180183113165
35,2026-02-05,80.5663363822169,40.833583910332294
36,2026-02-06,81.8667563587216,40.41044420207907
37,2026-02-07,81.69149168455054,40.84482562096335
38,2026-02-08,84.70443621206084,42.38532355495674
39,2026-02-09,83.74049720805843,39.75355537495449
40,2026-02-10,85.56096031051106,40.229768866494446
41,2026-02-11,85.35921652763132,37.66858353430784
42,2026-02-12,83.98034980810621,36.58421963703442
43,2026-02-13,83.50167537433691,37.58884678815899
44,2026-02-14,82.392493089797,37.672296643618544
45,2026-02-15,82.46709781237598,37.37208911563995
46,2026-02-16,82.28881732024911,37.22811333623113
47,2026-02-17,83.41315719287556,38.80042624976362
48,2026-02-18,85.04346253218881,40.16067193189107
49,2026-02-19,85.24862201673477,39.27976854252029
50,2026-02-20,85.69681134310238,40.01917962976824
51,2026-02-21,86.77499975071026,39.61296875253996
52,2026-02-22,86.19524160804485,43.51945716144599
53,2026-02-23,88.11156164789806,42.71042205368298
54,2026-02-24,90.29601112466337,42.54117891767735
55,2026-02-25,91.20317271931833,42.31785604035111
56,2026-02-26,96.4925800490874,41.95931668602108
57,2026-02-27,98.82749792410826,42.47097293811773
58,2026-02-28,99.10295298171994,43.1805469182607
59,2026-03-01,98.87859208743545,41.05269079653701
